Date,HT,AT,HS,AS
13/9/2009,Curicó,Cobresal,2,1
17/9/2009,O'Higgins,Universidad de Chile,1,1
17/9/2009,Unión Española,La Serena,1,4
18/9/2009,Huachipato,Audax Italiano,2,2
18/9/2009,Universidad Catolica,Curicó,7,0
19/9/2009,Rangers,Ñublense,2,0
19/9/2009,Universidad de Concepcion,Cobreloa,1,0
20/9/2009,Cobresal,Palestino,0,1
20/9/2009,Iquique,Colo Colo,1,1
20/9/2009,Santiago Morning,Everton,2,1
22/9/2009,Ñublense,O'Higgins,1,0
23/9/2009,Audax Italiano,Universidad Catolica,0,4
23/9/2009,Cobreloa,Huachipato,2,0
23/9/2009,Palestino,La Serena,1,0
23/9/2009,Universidad de Concepcion,Iquique,2,0
24/9/2009,Everton,Colo Colo,3,2
9/10/2009,Unión Española,Rangers,3,3
11/10/2009,Universidad de Chile,Cobresal,1,1
12/10/2009,Curicó,Santiago Morning,1,1
26/9/2009,Palestino,Universidad Catolica,1,1
26/9/2009,Santiago Morning,Universidad de Chile,3,1
27/9/2009,Cobreloa,Curicó,0,0
27/9/2009,Cobresal,Universidad de Concepcion,3,0
27/9/2009,Colo Colo,Ñublense,3,1
27/9/2009,Huachipato,Everton,1,2
27/9/2009,La Serena,Audax Italiano,4,2
27/9/2009,O'Higgins,Unión Española,2,0
27/9/2009,Rangers,Iquique,5,3
2/10/2009,Iquique,Huachipato,2,2
2/10/2009,Universidad Catolica,Rangers,5,1
3/10/2009,Audax Italiano,O'Higgins,1,1
3/10/2009,Colo Colo,Universidad de Chile,1,0
3/10/2009,La Serena,Cobresal,3,2
4/10/2009,Everton,Cobreloa,0,3
4/10/2009,Ñublense,Palestino,1,0
4/10/2009,Universidad de Concepcion,Curicó,3,1
4/10/2009,Unión Española,Santiago Morning,0,1
16/10/2009,Santiago Morning,La Serena,1,2
17/10/2009,O'Higgins,Iquique,2,2
17/10/2009,Unión Española,Universidad Catolica,4,3
18/10/2009,Cobreloa,Audax Italiano,0,1
18/10/2009,Cobresal,Everton,2,0
18/10/2009,Curicó,Ñublense,3,0
18/10/2009,Huachipato,Colo Colo,0,2
18/10/2009,Rangers,Palestino,1,0
18/10/2009,Universidad de Chile,Universidad de Concepcion,1,1
23/10/2009,Audax Italiano,Rangers,1,0
24/10/2009,Colo Colo,Cobreloa,2,1
24/10/2009,Iquique,Cobresal,1,1
24/10/2009,Universidad de Concepcion,Unión Española,1,2
24/10/2009,Palestino,Everton,0,1
25/10/2009,Ñublense,Huachipato,3,0
25/10/2009,Universidad Catolica,Santiago Morning,3,0
25/10/2009,Curicó,O'Higgins,0,1
25/10/2009,La Serena,Universidad de Chile,3,0
30/10/2009,O'Higgins,La Serena,1,3
31/10/2009,Cobresal,Colo Colo,0,2
31/10/2009,Iquique,Cobreloa,2,1
31/10/2009,Palestino,Huachipato,1,3
31/10/2009,Universidad de Chile,Universidad Catolica,2,3
1/11/2009,Everton,Audax Italiano,1,2
1/11/2009,Rangers,Santiago Morning,3,1
1/11/2009,Universidad de Concepcion,Ñublense,1,1
1/11/2009,Unión Española,Curicó,3,0
6/11/2009,Santiago Morning,O'Higgins,1,1
7/11/2009,Colo Colo,Palestino,1,2
7/11/2009,Universidad Catolica,Universidad de Concepcion,4,1
7/11/2009,Audax Italiano,Cobresal,0,0
8/11/2009,Cobreloa,Rangers,1,0
8/11/2009,Curicó,Everton,2,2
8/11/2009,Huachipato,Universidad de Chile,1,0
8/11/2009,La Serena,Iquique,2,1
8/11/2009,Ñublense,Unión Española,1,1
23/1/2010,San Felipe,Colo Colo,3,2
23/1/2010,Everton,Unión Española,0,1
24/1/2010,Cobreloa,Wanderers,2,1
24/1/2010,Universidad de Chile,Cobresal,5,1
